"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor(Percent)","2017 Capacity Factor(Percent)","2016 Capacity Factor(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,Years of Operation through 12/31/2019,
"Arkansas Nuclear One, Unit 1",ANO 1,05000313,DPR-51,"London, AR (6 MI WNW of Russellville,  AR)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,B&W LLP,BECH,BECH,06/12/1968,21/05/1974,19/12/1974,20/06/2001,20/05/2034,2568,,76%,87%,72%,82%,98%,56%,102%,87%,90%,99%,83%,,78%,92%,92%,,45,31/12/2019
"Arkansas Nuclear One, Unit 2",ANO 2,05000368,NPF-6,"London, AR (6 MI WNW of Russellville,  AR)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,CE,BECH,BECH,06/12/1972,01/09/1978,26/03/1980,30/06/2005,17/07/2038,3026,,82%,70%,94%,89%,85%,91%,93%,90%,97%,90%,91%,,91%,99%,90%,,41,
"Beaver Valley Power Station, Unit 1",Beaver Valley 1,05000334,DPR-66,"Shippingport, PA(17 MI W of McCandless,  PA)",1,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,WEST 3LP,S&W,S&W,26/06/1970,02/07/1976,01/10/1976,05/11/2009,29/01/2036,2900,,92%,99%,91%,90%,86%,86%,92%,101%,91%,92%,101%,,101%,93%,83%,,43,
"Beaver Valley Power Station, Unit 2",Beaver Valley 2,05000412,NPF-73,"Shippingport, PA (17 MI W of McCandless,  PA)",1,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,WEST 3LP,S&W,S&W,03/05/1974,14/08/1987,17/11/1987,05/11/2009,27/05/2047,2900,,90%,90%,97%,90%,98%,97%,91%,102%,84%,87%,103%,,93%,100%,91%,,32,
"Braidwood Station, Unit 1",Braidwood 1,05000456,NPF-72,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,31/12/1975,02/07/1987,29/07/1988,27/01/2016,17/10/2046,3645,,93%,98%,90%,93%,103%,95%,91%,101%,89%,95%,101%,,100%,95%,97%,,32,
"Braidwood Station, Unit 2",Braidwood 2,05000457,NPF-77,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,31/12/1975,20/05/1988,17/10/1988,27/01/2016,18/12/2047,3645,,92%,88%,95%,91%,96%,98%,93%,93%,99%,93%,92%,,94%,101%,96%,,31,
"Browns Ferry Nuclear Plant, Unit 1",Browns Ferry 1,05000259,DPR-33,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,10/05/1967,20/12/1973,01/08/1974,04/05/2006,20/12/2033,3952,,82%,97%,83%,94%,90%,94%,88%,91%,86%,94%,88%,,,,,,46,
"Browns Ferry Nuclear Plant, Unit 2",Browns Ferry 2,05000260,DPR-52,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,10/05/1967,28/06/1974,01/03/1975,04/05/2006,28/06/2034,3952,,97%,83%,94%,85%,98%,79%,99%,80%,91%,94%,98%,,90%,100%,86%,,45,
"Browns Ferry Nuclear Plant, Unit 3",Browns Ferry 3,05000296,DPR-68,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,31/07/1968,02/07/1976,01/03/1977,04/05/2006,02/07/2036,3952,,76%,93%,80%,92%,88%,89%,83%,87%,81%,95%,81%,,94%,89%,96%,,43,
"Brunswick Steam Electric Plant, Unit 1",Brunswick 1,05000325,DPR-71,"Southport, NC (20 MI S of Wilmington, NC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,BWR-MARK 1,GE 4,UE&C,BRRT,07/02/1970,08/09/1976,18/03/1977,26/06/2006,08/09/2036,2923,,85%,93%,83%,93%,89%,92%,77%,100%,83%,98%,85%,,94%,86%,101%,,43,
"Brunswick Steam Electric Plant, Unit 2",Brunswick 2,05000324,DPR-62,"Southport, NC (20 MI S of Wilmington, NC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,BWR-MARK 1,GE 4,UE&C,BRRT,07/02/1970,27/12/1974,03/11/1975,26/06/2006,27/12/2034,2923,,93%,82%,92%,81%,98%,73%,98%,79%,99%,80%,95%,,86%,98%,99%,,45,
"Byron Station, Unit 1",Byron 1,05000454,NPF-37,"Byron, Il (17 MI SW of Rockford,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,31/12/1975,14/02/1985,16/09/1985,19/11/2015,31/10/2044,3645,,94%,89%,97%,88%,97%,96%,88%,88%,101%,94%,95%,,94%,102%,94%,,34,
"Byron Station, Unit 2",Byron 2,05000455,NPF-66,"Byron, Il (17 MI SW of Rockford,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,31/12/1975,30/01/1987,02/08/1987,19/11/2015,06/11/2046,3645,,100%,89%,86%,94%,94%,86%,94%,93%,96%,102%,96%,,96%,96%,101%,,32,
Callaway Plant,Callaway,05000483,NPF-30,"Fulton, MO (25 MI ENE of Jefferson City,  MO)",4,Union Electric Co.,AmerenUE,www.ameren.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,DANI,16/04/1976,18/10/1984,19/12/1984,06/03/2015,18/10/2044,3565,,100%,77%,87%,96%,89%,77%,103%,90%,86%,98%,90%,,77%,78%,97%,,35,
"Calvert Cliffs Nuclear Power Plant, Unit 1",Calvert Cliffs 1,05000317,DPR-53,"Lusby, MD (40 MI S of Annapolis,  MD)",1,"Calvert Cliffs Nuclear Power Plant, LLC - Owner
Exelon Generation Company, LLC - Operator","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,CE,BECH,BECH,07/07/1969,31/07/1974,08/05/1975,23/03/2000,31/07/2034,2737,,92%,97%,89%,97%,91%,97%,81%,101%,90%,98%,93%,,100%,92%,102%,,45,
"Calvert Cliffs Nuclear Power Plant, Unit 2",Calvert Cliffs 2,05000318,DPR-69,"Lusby, MD (40 MI S of Annapolis,  MD)",1,"Calvert Cliffs Nuclear Power Plant, LLC - Owner
Exelon Generation Company, LLC - Operator","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,CE,BECH,BECH,07/07/1969,13/08/1976,01/04/1977,23/03/2000,13/08/2036,2737,,100%,91%,95%,86%,100%,81%,101%,92%,97%,93%,99%,,94%,100%,82%,,43,
"Catawba Nuclear Station, Unit 1",Catawba 1,05000413,NPF-35,"York, SC (18 MI S of Charlotte, NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,07/08/1975,17/01/1985,29/06/1985,05/12/2003,05/12/2043,3469,,93%,90%,97%,88%,86%,96%,89%,89%,100%,91%,89%,,93%,98%,83%,,34,
"Catawba Nuclear Station, Unit 2",Catawba 2,05000414,NPF-52,"York, SC (18 MI S of Charlotte, NC)",2,"Duke Energy Carolinas, LLC",Duke Energy,www.duke-energy.com,,PWR-ICECND,WEST 4LP,DUKE,DUKE,07/08/1975,15/05/1986,19/08/1986,05/12/2003,05/12/2043,3469,,91%,96%,88%,86%,100%,86%,92%,101%,92%,90%,103%,,102%,89%,94%,,33,
"Clinton Power Station, Unit 1",Clinton,05000461,NPF-62,"Clinton, IL (23 MI SSE of Bloomington, IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 3,GE 6,S&L,BALD,24/02/1976,17/04/1987,24/11/1987,N/A,29/09/2026,3473,,88%,84%,89%,87%,97%,82%,100%,93%,92%,97%,99%,,94%,88%,97%,,32,
Columbia Generating Station,Columbia Generating Station,05000397,NPF-21,"Richland, WA (20 MI NNE of Pasco, WA)",4,Energy Northwest,Energy Northwest,www.energy-northwest.com,,BWR-MARK 2,GE 5,B&R,BECH,19/03/1973,13/04/1984,13/12/1984,22/05/2012,20/12/2043,3544,,96%,77%,92%,78%,98%,80%,97%,50%,95%,67%,93%,,83%,91%,79%,,35,
"Comanche Peak Nuclear Power Plant, Unit 1",Comanche Peak 1,05000445,NPF-87,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Comanche Peak Power Company LLC - Owner
Vistra Operations Company LLC - Operator",Vistra Energy Corp.,www.vistraenergy.com/,Member of the Utilities Services Alliance,PWR-DRYAMB,WEST 4LP,G&H,BRRT,19/12/1974,17/04/1990,13/08/1990,N/A,08/02/2030,3612,,100%,91%,92%,100%,85%,94%,98%,91%,91%,100%,96%,,92%,90%,101%,,29,
"Comanche Peak Nuclear Power Plant, Unit 2",Comanche Peak 2,05000446,NPF-89,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Comanche Peak Power Company LLC - Owner
Vistra Operations Company LLC - Operator",Vistra Energy Corp.,www.vistraenergy.com/,Member of the Utilities Services Alliance,PWR-DRYAMB,WEST 4LP,BECH,BRRT,19/12/1974,06/04/1993,03/08/1993,N/A,02/02/2033,3612,,93%,68%,100%,88%,93%,99%,91%,92%,104%,94%,95%,,92%,99%,83%,,26,
Cooper Nuclear Station ,Cooper,05000298,DPR-46,"Brownville, NE (23 MI S of Nebraska City,  NE)",4,Nebraska Public Power District,Nebraska Public Power District, www.nppd.com,,BWR-MARK 1,GE 4,B&R,B&R,04/06/1968,18/01/1974,01/07/1974,29/11/2010,18/01/2034,2419,,81%,99%,84%,97%,88%,97%,87%,86%,100%,72%,90%,,89%,93%,68%,,45,
